"uuid","label"
"09073ce0-847f-3f0c-987c-6922c7600e4a","AdmNetFlowObject::Node"
"49974f01-4859-303b-9a58-114a9f71f93e","AdmSubject::Node"
"cd22d5db-9d47-3544-9762-7ff2dba8615a","AdmEvent::Node"
"dbc36768-f283-3c49-88bf-d8a96a61ab58","AdmEvent::Node"
"151938db-d4dd-3e42-af7a-2c29c43fc4e5","AdmEvent::Node"
"cb640e82-a768-3c13-9f7d-ac64b3cc7c32","AdmSubject::Node"
"7bb69df0-d9b8-34bb-bab5-bf2665edbe9e","AdmFileObject::Node"
"2860974b-24ed-3537-a376-dddbd4d752cc","AdmEvent::Node"
"3b5868f8-d120-3606-8559-6862ce77a6af","AdmFileObject::Node"
"16ee7258-8b53-3000-8b80-4e34c0823359","AdmEvent::Node"
"96768050-80d5-340b-b70d-51200d1de037","AdmEvent::Node"
"ea2c0d64-ace8-3989-b652-8143bdc26b37","AdmEvent::Node"
"f3af6152-199d-3f1a-bb48-bd1c6d1b77fc","AdmEvent::Node"
"238bd326-11eb-36fe-a159-57ddea4347d7","AdmEvent::Node"
"eb4a3c42-4052-315f-a75d-b48d6d16b456","AdmSubject::Node"
"366e064b-ce26-35d4-b467-456a1fabf59d","AdmNetFlowObject::Node"
"9ea0efbb-b5bf-321c-8644-f7ea1c174624","AdmSubject::Node"
"33107393-c8fa-31e1-9576-7f820ab14581","AdmEvent::Node"
"282fa6b6-b24e-3d79-b534-40c8db0ab798","AdmEvent::Node"
"aa5e1105-12dc-3014-a550-e95c6dcec716","AdmSubject::Node"
"ad3d260c-e749-3af1-aec5-994c1ea50ff7","AdmEvent::Node"
"550a5dfe-1e10-353f-99fc-aa09c5a527f5","AdmEvent::Node"
"204c2cf9-e49f-3255-bd26-b2103dadc7c6","AdmEvent::Node"
"ff93db38-135b-3243-9510-18b82d75f2c4","AdmSubject::Node"
"4e159cbe-515c-3565-8b02-e34b338206ef","AdmEvent::Node"
